"Hotel","Provider","Review_Count","Free_Wifi","Breakfast_Included","Swimming_Pool","Free_Parking","Website","Special_Offer","Restaurant","links","Price_AMD","Price_USD","overall_rating","address"
"ibis Yerevan Center Hotel","Booking.com",209,1,0,0,1,1,1,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d11665411-Reviews-Ibis_Yerevan_Center_Hotel-Yerevan.html",24750,51," 4.5 ","Northern Avenue 5/1, Yerevan 0001, Armenia"
"Deluxe Hotel Yerevan","Agoda.com",226,1,0,0,1,1,1,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d1479879-Reviews-Deluxe_Hotel_Yerevan-Yerevan.html",14021,29," 4.5 ","Komitas ave 32, Yerevan 0012, Armenia"
"Armenia Marriott Hotel Yerevan","Booking.com",743,0,0,0,1,1,1,1,"https://www.tripadvisor.com/Hotel_Review-g293932-d299732-Reviews-Armenia_Marriott_Hotel_Yerevan-Yerevan.html",54400,112," 4.0 ","Amiryan str. 1, Yerevan 0010, Armenia"
"Tufenkian Historic Yerevan Hotel","Booking.com",382,1,1,0,0,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d3634113-Reviews-Tufenkian_Historic_Yerevan_Hotel-Yerevan.html",37000,76," 4.5 ","Anrapyetutsyan str. 48, Yerevan 0010, Armenia"
"Republica Hotel Yerevan","Agoda.com",622,1,1,0,0,1,1,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6731098-Reviews-Republica_Hotel_Yerevan-Yerevan.html",46268,96," 4.5 ","Amiryan str. 7/1, Yerevan 0010, Armenia"
"My Hotel Yerevan","Booking.com",145,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d6702577-Reviews-My_Hotel_Yerevan-Yerevan.html",22342,46," 4.5 ","Nalbandyan street 47/1, Yerevan 0010, Armenia"
"Paris Hotel","Expedia.com",344,1,0,0,1,1,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d7004445-Reviews-Paris_Hotel-Yerevan.html",35547,73," 4.5 ","Amiryan str. 4/6, Yerevan 0010, Armenia"
"Hotel Meg","Booking.com",171,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d1232920-Reviews-Hotel_Meg-Yerevan.html",28875,60," 4.5 ","Sarmen 1 | City Center, Yerevan 0009, Armenia"
"Best Western Congress Hotel","Agoda.com",599,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d308336-Reviews-Best_Western_Congress_Hotel-Yerevan.html",33408,69," 4.0 ","1 Italy Street, Yerevan 0010, Armenia"
"DoubleTree by Hilton Hotel Yerevan City Centre","Booking.com",311,1,0,0,1,1,1,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d8029079-Reviews-DoubleTree_by_Hilton_Hotel_Yerevan_City_Centre-Yerevan.html",37500,77," 4.5 ","Grigor Lusavorich Street 4/2, Yerevan 0015, Armenia"
"Nova Hotel","Expedia.com",218,1,0,0,1,0,0,0,"https://www.tripadvisor.com/Hotel_Review-g293932-d10100256-Reviews-Nova_Hotel-Yerevan.html",32974,68," 4.5 ","Sayat Novy str. 10/5, Yerevan 0001, Armenia"
