"X","Reviews"
1,"James Wan has done the one thing most people never thought possible. He made Aquaman cool and awesome. "
2,"I liked a  video  Aquaman Official Trailer - Comic Con 2018 Breakdown"
3," You should do a video on how fit you need to be to move around like Aquaman underwater. I think it'd be a fun video. Plus it's Summer, and that'd be an excuse to go to a pool"
4,"we going <U+2708><U+FE0F> soon to officially add shazam and aquaman to this "
5,"Imma watch  
"
6," hyped!"
7,"I JUST WATCHED THE AQUAMAN AND SHAZAM! TRAILER AND THEYRE FUCKING AMAZING OMFG"
8,"_Comic_Con I totally forgot Aquaman was getting his own movie!"
9,"DC IS thRIVING. 
AQUAMAN AND SHAZAM ARE COMING FOR EVERYONES WIGS"
10,"OKAY BUT MERA IS GONNA BE THE BADASS THAT QUEEN SHE ACTUALLY IS. 
MERA: QUEEN OF ATLANTIS NOT MERA: AQUAMANS WIfe 

 IS GONNA BE SO FICKING GOOD"
11,"the shazam trailer SNAPPED OMFGH SO GOOD ENDED AQUAMAN"
12,"_Stiger Are you telling me that the Aquaman, Shazam, AND Godzilla trailers all came out today????"
13,"The Trailers for  and  were awesome! I'm excited for both. Especially that Godzilla Trailer, got me really hyped for the movie."
14,"Black Manta Looks badass.  "
15,"Aquaman looks amazing. Its seems that DC is getting their solo hero movies right. This is what they should of done before bvs and justice league.   "
16,"I’ll say this DC knows how to put together a good trailer. Now let’s see if it’ll live up to it.  "
17,"when I used the Aquaman Trailer music in 2015...

lol"
18,". Looks awesome. i cannot wait to see wat  has created and hopefully bring Arthur Curry   the god damn respect  he deserves, As he is one bad ass character. And finally get to see Mera  in full swing action."
19,"I’ve never entirely felt this worked (perhaps because in the UK the closest ‘kid turns into superhero’ was Bananaman); however, Jason Momoa’s chest/charisma aside, I’m more convinced of this as a potential for DC than Aquaman. "
20,"I added a video to a  playlist  AQUAMAN vs SHAZAM! // LIVE"
21,"Now there's an Aquaman trailer too?!! What. Is. Happening???? "
22,"The new Aquaman movie looks amazing <U+0001F60D> "
23," If Glass was here i would have voted that. But tho aquaman and shazam was good, something about them looked not right, maybe CGI, i dont know. But i voted Godzilla cos its a great monster and the movie is gonna b so good"
24,"The Shazam trailer wasn't really my cup of tea (still was a funny trailer) but Aquaman was <U+0001F525><U+0001F525> so excited to see that movie especially bcs Jason Momoa is an amazing actor"
25,"The Godzilla trailer looks great and I don't think I'll even watch the Aquaman trailer."
26,"Wondering how many times I am going to see   <U+0001F60D>"
27,"Shazam, Aquaman and Godzilla trailers all in one night . Comic con is a gift to humanity"
28,"the shazam and aquaman trailer looks pretty good dc better not fuck this up again"
29,"Aquaman... ehhh. 
1. that is not a trident <U+0001F612>
2. The dialogue sounds shitty in the trailer. 
3. Amber Heards wig is very yes &amp; no, like its 2018, we have figured out wig technology. Beyonce’s ppl figured out wig technology a decade ago, I shouldnt be so distracted by a damn wig."
30,"That Aquaman trailer looks horrible <U+0001F615>"
31,"I liked a  video  Aquaman - Official Trailer 1"
32,"I liked a  video  Aquaman - Official Trailer 1"
33," I may be more into Aquaman after I see Justice League, doesn’t do much for me from that trailer"
34,"Aquaman is even more of a bro in his solo movie than he was in 'Justice League'  "
35,"I thought I heard Aquaman was going to go for a horror aesthetic for its movie. That doesn’t seem to be the case anymore. Probably for the best, but I would have been interested in how that’d be done <U+0001F602>"
36,"I liked a  video  AQUAMAN OFFICIAL TRAILER"
37,"Shazam and Aquaman seem really good from the trailers. I mean we actually have color! This might just revive DC"
38,"I guess I don't get it. I thought the AQUAMAN trailer was OUTSTANDING. But of course butt hurt bitches are already ""meh-ing"" it and calling it ugly, loud, and a miss. WHAT DO YOU PEOPLE WANT?? I think it looks fun and pretty damn BEAUTIFUL --esp Atlantis. WTF?!?"
39,"Godzilla: King of Monsters, Aquaman and Shazam trailer!! can't wait for Captain Marvel trailer too!!"
40,"  Man of Steel was good. BvS was ok but had some issues, which the extended cut helped a bit. JL wasn't horrible but didn't live up to most expectations.  was a very solid film.  looks very promising. Almost has a Thor feel to it, which I think is a good thing."
41," What about Aquaman???"
42," I love Marvel movies, but I really really want DC to do well. Justice League was not as good as, say Infinity War, but it's far better than BvS was. I don't want to hate them, I love DC heroes. I am very optimistic for Aquaman, and I hope this makes people take Aquaman seriously."
43," is looking pretty great. They seem to be taking the character seriously, and if they do that, this movie could be great."
44,"After what seems like years  first trailer is here     

The bar is set so low with  this should at the very least be a fun watch

"
45,"<U+2533><U+253B>| 
<U+253B><U+2533>| 
<U+2533><U+253B>| _ 
<U+253B><U+2533>| •.•)  Aquaman looks great!
<U+2533><U+253B>|<U+2282><U+FF89>   
<U+253B><U+2533>|"
46,"hi this account is now an aquaman stan account since the trailer is finally out"
47,"The western guardianship on Muslims women:
Can't they just accept the fact that is their choice and leave them alone!!
 "
48," It’s here... and I’m waiting to see it on my 50’  !!!! Congratulations   Team!!"
49,"Aquaman - Official Trailer 1  via "
50,"Okay
Aquaman looks pretty good.

It seems so damn out of place in the continuity. But...whatever."
51,"What to do on my birthday? 
<U+2705> Dive into the sea with  "
52,"Then I got to  and y'all know I've been in a best friend imaginative friendship with  for a while. I was tired of people complaining about whale images and why  wasn't wet on a poster."
53,"We got Orm we got Manta...  spoiled us... Lord if that was the first trailer what do we get for the 2nd?? Green and gold suit obviously. But wow.. WOW!!!!!... there's not enough words to give this man for what he's done for us... We have an "
54,"Not only did we have Giant sea TURTLES and a Lobster. And every other sea animal. We had a war.. we had armies. We had an underwater film that didn't look absolutely redonkulous. I had to replay immediately in awe.. "
55,"So have I told you all I'm an admin in a DC group since our first day back in 2016??? Well today it was all about comic con... Man I couldn't type quick enough and emotions were high. But we got there in the end <U+0001F64C>.     "
56," looks so promising. It's so accurate to the Comic.. to the animation. I was stunned. I had fear. Today was meant to be  day and what if I liked  more??? It was real fear.  Thank you!!!!!!!."
57,"I wanted this trailer to be huge. To momentarily silence the haters... I even considered getting my nanny to light a candle in the hopes this trailer was epic. There was no need  had us sorted. BOYZ GOT MAD SKILLZ.  blew my mind"
58,"A proper under water King...we've had many a Superman and many a Batman. But  is finally giving us an  to be proud of. He's also changing the ways of under water movies. He's a hero... a god... "
59,"After making sure all 35k of our members got updates as soon as  they went live. I finally got the chance to sit down and watch them myself. Boy what a rollercoaster of emotions I had. I think my pure exhaustion from the adrenalin rush has added to it.<U+0001F634>  "
60," with the fresh fade, bout to whip some ass! <U+0001F60E>  "
61,"When that trailer drops and u got the t-shirt on but this is the closest u can get to Atlantis...  "
62,"Aquaman and God-fucking-zilla 
I am spazzing the fuck out"
63," I'm still worried that they're going to load Aquaman down with All The Pathos."
64,"I hope  is great as it will be directly compared to .  

The only real narrative difference is they switched Killmonger &amp; Black Panther's goals and called it a day, it seems."
65,"Not a DC fan one bit.... But that Aquaman though...."
66,"Here’s my ranking of all 5 San Diego Comic Con Trailers.

1. Glass (5/5)
2. Shazam! (4.5/5)
3. Aquaman (4/5)
4. Fantastic Beasts: The Crimes Of Grindelwald (3.5/5)
5. Godzilla: King Of The Monsters (1/5)

Let me know your guys rankings!"
67,"OK. We get it. There’s a resemblance.  NOT .  "
68,"AQUAMAN AND SHAZAM TRAILERS !!!!!"
69,"Politicized


         

                      "
70,"Steel The One


        

                      "
71,"Nicole Kidman Reveals the Flattering Way ‘Aquaman’ Director James Wan Convinced Her to Sign On (Exclusive)  "
72,"   I feel like Aquaman is being made out of unnecessary necessity of putting Jason Momoa in something, I’m actually looking forward to Black Manta’s film debut, though"
73,"I can’t wait!!!!!!  "
74,"Aquaman looks Amazing! But that’s probably cause I love the waters <U+0001F481><U+0001F3FD><U+200D>+<U+FE0F>"
75," looks great "
76,"Nothing else matters.  "
77,"Black Manta, need i say more.   "
78," looks visually arresting, and as long as the imagination is there, it should be a cool experience. Interesting to think how MCU suffered with Gunn getting fired while it seems DC might be resurgent around the same time."
79,"New trailers rank hype according to particular order: 

1.  
2.  
3. "
80,"I don't watch trailers, but I don't care about  so I decided to watch the trailer. It looks very bad and I couldn't even be bothered to finish the fucking thing. DC can you just stop please."
81,"Aquaman = Thor: Under the Sea. "
82,"So we got a Shazam and Aquaman trailer"
83,"so the directors of shazam and aquaman are both horror films directors. coincidence??? i think not"
84,"I liked a  video  AQUAMAN - Official TRAILER 1 REACTION!!!"
