"X","Reviews"
1,"Karma goin have to take of Johnny Depo cuz I'm definitely watching Fantastic beasts 2 "
2,"I liked a  video  FANTASTIC BEASTS 2 Trailer 2 (2018)"
3,"Fantastic Beasts has a new trailer! Check it out below! "
4,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
5,"OH MY GOD THE NEW FANTASTIC BEASTS TRAILER OH MY GOD I CANT EVEN MY POTTER HEART IS BEATING AGAIN"
6,"Can't wait for Fantastic Beasts: The Crimes of Grindelwald. <U+0001F60D>"
7,"Fantastic Beasts: The Crimes of Grindelwald (2018), Official Comic-Con Trailer
 "
8,"Fantastic Beasts looks tight af too"
9,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  via "
10,"FANTASTIC BEASTS 2 Trailer 2 (2018)  via "
11,"FANTASTIC BEASTS 2 Trailer  2 (NEW 2018) The Crimes of Grindelwald, Har...    "
12,"‘Fantastic Beasts’ Comic Con Panel Explodes With Calls To ‘Impeach Trump’ — Not Everyone Is Thrilled "
13," Boycott “Fantastic Beasts: The Crimes of Grindelwald”"
14,"Hey  no one would care about the delay if you pushed the Fantastic Beasts 2: The Crimes of Grindelwald release date back in order to re-shoot all of Depp's scenes with a different actor.  Thanks."
15,"Here’s my ranking of all 5 San Diego Comic Con Trailers.

1. Glass (5/5)
2. Shazam! (4.5/5)
3. Aquaman (4/5)
4. Fantastic Beasts: The Crimes Of Grindelwald (3.5/5)
5. Godzilla: King Of The Monsters (1/5)

Let me know your guys rankings!"
16,"Johnny Depp Surprises Comic-Con as His Dark Fantastic Beasts Character: 'The Moment Has Come'  "
17,"Checkthis YouTube video: Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer "
18,"FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD Gets a New Trailer at SDCC 2018  "
19,"Historic Harry Potter Character Makes His Debut in New Fantastic Beasts: The Crimes of…  "
20,"Fantastic Beasts 2: New Trailer Reveals Nicholas Flamel  "
21,"New Fantastic Beasts 2 Trailer Explores the Unseen Side of Harry Potter  "
22,"the fantastic beasts trailers looks so good omg <U+0001F62D><U+0001F62D>"
23,"LOL why is the Fantastic Beasts CGI so bad?

And why is Johnny Depp still in this shit"
24,"New Fantastic Beasts trailer is hypeeee"
25,"""Fantastic Beasts: The Crimes Of Grindelwald""
"
26,"‘Fantastic Beasts’ Comic Con Panel Explodes With Calls To ‘Impeach Trump’ — Not Everyone Is Thrilled  via "
27,"today i got a fantastic beasts trailer, news about wonder woman 1984, a shazam and aquaman trailer, new arrow footage and a trailer for season two of the gifted.... how am i still breathing"
28,"'Yung trailers ng Fantastic Beasts: The Crimes of Grindelwald and Aquaman. Waaaaaahh. &lt;3"
29,"Okay I’m gonna watch the Aquaman &amp; Fantastic Beasts trailers "
30,"It’s been forever since I’ve watched the Sweeney Todd movie and suddenly I feel like I’m watching Harry Potter/Fantastic Beasts lmao."
31,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  via  "
32,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
33,"instead of seeing fantastic beasts for my bday i will be seeing the ecstatically bad looking robin hood film starring taron eggy bc that’s self care baby"
34,"109) fantastic beasts and where to find them
dir.: David Yates "
35,"OMGGGG LA FIN DU TRAILER DE FANTASTIC BEASTS ????"
36,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  <U+3088><U+308A>"
37,"just saw the newest fantastic beasts trailer aaaannnd huhu november can't get here fast enough."
38," I voted for Fantastic Beasts but I’m also stupid excited for Godzilla. I love monster movies."
39,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
40,"Comic-Con 2018: Everyone Is Scared of Something Trailer: Fantastic Beasts: The Crimes of Grindelwald! "
41,"The new 'Fantastic Beasts: The Crimes of Grindelwald' trailer is here and it's time to get hype "
42,"Watch ‘Fantastic Beasts: The Crimes of Grindelwald’ Full Comic-Con Trailer "
43,"I liked a  video  FANTASTIC BEASTS 2: The Crimes of Grindelwald Trailer 2 (2018)"
44,"There’s no excuse for keeping Johnny Depp in the Fantastic Beasts movie. None. The mans an abuser. Period. And the fact that they’re defending him is sickening to be quite honest"
45,"Watch ‘Fantastic Beasts: The Crimes of Grindelwald’ Full Comic-Con Trailer "
46,"I liked a  video  Godzilla &amp; Fantastic Beasts 2 Trailer Reactions! (SDCC 2018 Panels)"
47,"Watch ‘Fantastic Beasts: The Crimes of Grindelwald’ Full Comic-Con Trailer "
48,"‘Fantastic Beasts’ Comic Con Panel Explodes With Calls To ‘Impeach Trump’ — Not Everyone Is Thrilled  via "
49,"Fantastic Beasts trailer too <U+0001F62D> what a day"
50,"The new 'Fantastic Beasts: The Crimes of Grindelwald' trailer is here and it's time to get hype "
51,"Fantastic Beasts: The Crimes Of Grindelwald - 2018 SDCC Official Trailer &amp; Movie Poster  "
52,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  Carai que trailer foda <U+0001F635>"
53,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald Comic-Con Trailer (2018) | Movieclips"
54," thoughts on the new fantastic beasts trailer?"
55,"I know he’s so much younger in Fantastic Beasts but why does Jude Law’s Dumbledore have such a different personality to Richard Harris and Michael Gambon’s in Harry Potter I’m just not feeling it so far"
56,"there is no!! reason!! for fantastic beasts not to recast johnny depp <U+0001F643><U+0001F643><U+0001F643>"
57,"Me a year ago: Johnny Depp is CANCELED. I’m not seeing Fantastic Beasts 2!!!

Me trying to keep that same energy after the trailer dropped: "
58," It arrives in Italy on November 15th! I saw fantastic beasts and where to find them three times. I love Eddie Redmayne, I think he has a great talent, a unique way of acting. And then there is also the amazing Johnny Depp. How can you not go see it? I can't wait!!!"
59,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer...  via 
NOOO MAN AL DEZE GOEDE FILMS WOTTEFOOOK"
60," I only look forward to fantastic beasts. So ill bolo for that one"
61,"Fantastic Beasts 1 was SO BORING I did not get it at all"
62,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer "
63,"just watched the Fantastic Beasts newest trailer and I forgot to breathe

gawd I can't wait for Novemberrrr <U+0001F62D><U+0001F62D><U+0001F62D>"
64,"[TRAILER] The Spectacular New Trailer For FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD Has Magically Appeared
  "
65,"<U+0E09><U+0E31><U+0E19><U+0E0A><U+0E2D><U+0E1A><U+0E27><U+0E34><U+0E14><U+0E35><U+0E42><U+0E2D>   Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con"
66,"Fantastic Beasts panel gets political: 'Impeach Trump!' |  "
67,"thew new fantastic beasts trailer has got me TOO excited I can't wait wow"
68,"HAVE YALL SEEN THE NEW FANTASTIC BEASTS COMIC CON TRAILER ??? OMGG"
69," Oh thanks for reminding me to mute Fantastic Beasts along with my currently muted Harry Potter"
70,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
71,"I liked a  video  FANTASTIC BEASTS 2 Trailer 2 (2018)"
72,"I'll be doing one for Aquaman, Shazam and Fantastic Beasts! Then probably talking about the James Gunn situation. "
73,"Trailer for Fantastic Beasts: The Crimes of Grindelwald premieres at Comic-Con: Watch  via "
74,"It's AWESOME! Watch the second ' trailer.      "
75,"Holy shite I cannot wait for fantastic beasts!<U+0001F920>"
76," What type of fucking criticism is this? What the fantastic beasts trailer showed is a complex story. That’s literally it. How desperate do you have to be to denigrate an obviously quality film because you feel threatened by the Potter franchise. For some reason"
77," Fantastic Beasts was so much better than half this list. It was, um, actually original. Instead of just more comic book stuff. And it was plot based and complex"
78,"       _rowling The violence in Star Wars is never explicit or disturbing, and the Harry Potter series parallels naziism far more explicitly. Fantastic Beasts is literally a series about the rise of magical fascism during World War 2"
79,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer...  <U+0E1C><U+0E48><U+0E32><U+0E19> "
80,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer avatars > "
81,"O TRAILER DE FANTASTIC BEASTS"
82,"I liked a  video  Fantastic Beasts The Crimes of Grindelwald Trailer Reaction"
83,"literally only watched fantastic beasts because eddie redmayne was the main character and i'm probs gonna watch this new one for the same reason but at least young newt is HOT!"
84,"Wand-waving Johnny Depp appears as 'Fantastic Beasts' character "
85,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  via "
86,"New fantastic beasts looks better than the first one "
87,"Gostei de um video do   Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
88,"I’ve watched the official comic-con trailer for Fantastic Beasts: The Crimes of Grindelwald so many times, analyzing every detail. IM SO EXCITED FOR THIS MOVIE <U+0001F62D><U+2764><U+FE0F><U+2764><U+FE0F>"
89,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
90," cast would cast “Impecheous Maximus"" in a heartbeat.  via "
91,"Can't believe we are supposed to believe that Jude Law's Dumbledore was involved with this ugly looking trash bag: "
92,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
93,"I added a video to a  playlist  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con"
94,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald Comic-Con Trailer (2018) | Movieclips"
95,"Here's my ranking of the new trailers from . 
1. Glass (by far)
2. Shazam!
3. Aquaman
4. Godzilla: KOTM
5. Fantastic Beasts"
96,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  via "
97," The   trailer sends Newt Scamander after Grindelwald  via "
98,"Fantastic Beasts: The Crimes of Grindelwald
 "
99,"Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer  via "
100,"Wahoo! Ezra Miller cosplays as Toadette for ""Fantastic Beasts"" Comic-Con panel  via "
101,"I liked a  video  Fantastic Beasts The Crimes of Grindelwald Trailer Reaction"
102,"After seeing this trailer, I'm even more excited to see Fantastic beasts 2 <U+0001F60D><U+0001F60D><U+0001F60D> "
103,"movies i can’t wait to watch : 
inrang
fantastic beasts
aquaman"
104,"That Fantastic Beasts 2 trailer has taught me something new: you can write fan fiction about something you originally created."
105,"  Yup. For Aquaman/Fantastic Beasts respectively"
106,"  But don’t worry, Johnny Depp was there as his Fantastic Beasts character"
107,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
108,"I liked a  video  Fantastic Beasts: The Crimes of Grindelwald - Official Comic-Con Trailer"
109,"  Not to mention the newest Fantastic Beasts film — thanks for that, "
110,"<U+0001F4F7> onetreehil: Fantastic Beasts: The Crimes of Grindelwald (2018) dir. David Yates "
111,"Fantastic Beasts The Crimes of Grindelwald - Comic Con Trailer Breakdown       via "
112,"I wanna see young Tom Riddle in a Fantastic Beasts movie."
113,"OMG Nicholas Flamel sa new trailer ng Fantastic Beasts. <U+0001F602><U+0001F602>"
114,"FANTASTIC BEASTS 2 Trailer 2 (2018)  via  <U+0001F631><U+0001F631><U+0001F631><U+0001F631><U+0001F631>"
115,"I liked a  video  FANTASTIC BEASTS 2 Trailer 2 (2018)"
116,"Watching Fantastic Beasts at SDCC videos. Ezra in costume is so cute. Am not that excited yet, but getting there."
117,"Some thoughts based on comic-con trailers.

Glass:
Can’t wait. Awesome trailer.

Godzilla - King of Monsters:
Looks WAY better than the last one for sure, looks sweet.

Fantastic Beasts 2:
Neat. Kay.

Shazam:
Pleasant surprise. Looks hilarious!

Aquaman:
Jesus, slow tf down."
118,"Fantastic Beasts panel gets political at Comic-Con: 'Impeach Trump!' - "
119,"So I guess they must be planning a Fantastic Beasts ride for the Harry Potter theme park because they’re already displaying one of the animatronics in the new movie "
120," it’s from today! He was at SDCC for Fantastic Beasts"
121,"A Harry Potter and Fantastic Beasts crossover ‘could’ be nice."
