"Names","Clubs","GP","GS","MP","TT","P","INT","BLK","GMB","TKL","OFF","C","CK"
" Illarramendi Asier A.","RSO",36,35,3163,7574,2218,44,75,0,64,0,81,5
" Messi Lionel L.","BAR",36,32,2996,7222,1534,8,10,0,10,13,98,44
" Banega Ever E.","SEV",31,25,2397,6531,1880,26,17,0,51,2,182,105
" Rodri","VIL",37,36,3228,6355,2164,58,45,0,60,2,8,0
" Rakitic Ivan I.","BAR",35,31,2838,6151,2241,39,48,0,26,3,72,48
" Parejo Dani D.","VAL",34,34,3005,5950,2097,29,52,0,71,2,193,173
" Ruiz Fabian F.","BET",34,30,2662,5802,1769,37,65,0,35,2,23,1
" Alba Jordi J.","BAR",33,30,2744,5339,2067,45,64,0,28,16,98,1
" Kroos Toni T.","RMD",27,26,2267,5321,1963,16,19,0,34,2,161,133
" Isco","RMD",30,21,1778,5280,1354,9,10,0,11,6,112,49
" Lobotka Stanislav S.","CEL",38,34,3061,5226,1818,41,39,0,36,0,14,0
" Mandi Aissa A.","BET",34,34,3025,5110,1957,57,71,0,51,1,5,0
" Jonny","CEL",36,36,3203,5100,1737,67,92,0,59,1,60,0
" Koke","ATL",35,33,2762,4964,1698,27,52,0,51,1,167,99
" Marcelo","RMD",28,26,2262,4939,1549,29,43,0,24,3,162,12
" Busquets Sergio S.","BAR",31,30,2600,4874,1952,27,63,0,57,0,4,0
" Sisto Pione P.","CEL",34,31,2534,4867,854,16,22,0,4,10,92,26
" Odriozola Alvaro A.","RSO",35,32,2917,4824,1451,22,54,0,23,9,177,2
" Pique Gerard G.","BAR",30,29,2633,4775,1569,44,48,0,24,3,3,0
" Trigueros Manuel M.","VIL",34,32,2709,4760,1608,38,36,0,44,1,103,51
" Mallo Hugo H.","CEL",34,34,3004,4756,1630,46,63,0,46,5,132,0
" Juanfran","DEP",35,34,3058,4664,1312,41,91,0,28,1,174,2
" Viera Jonathan J.",NA,23,23,1994,4636,1240,6,19,0,22,3,101,44
" Roberto Sergi S.","BAR",30,24,2224,4586,1620,45,40,0,22,1,63,0
" Saul","ATL",36,35,3157,4541,1417,54,78,0,70,6,25,1
" Iniesta Andres A.","BAR",30,25,1842,4518,1342,17,21,0,12,0,34,1
" Kondogbia Geoffrey G.","VAL",31,30,2617,4512,1379,58,55,0,78,1,8,0
" Lopez David D.","ESP",37,37,3330,4368,1518,70,55,0,50,2,9,0
" Campana Jose J.","LEV",35,33,2742,4299,1289,58,49,0,30,1,128,77
" Modric Luka L.","RMD",26,23,1976,4285,1384,20,19,0,17,0,32,6
" Gaya","VAL",34,33,2917,4285,1311,47,78,0,43,5,123,2
" Garcia Borja B.","GIR",37,34,2812,4257,1131,25,45,0,18,0,118,46
" Guardado Andres A.","BET",29,25,2266,4197,1275,25,32,0,31,2,89,42
" Amat Jordi J.","BET",25,24,2051,4186,1384,36,40,0,17,0,0,0
" Carvajal Dani D.","RMD",25,25,2223,4168,1583,44,52,0,27,3,120,0
" Granell Alex A.","GIR",34,33,2853,4130,1401,39,60,0,48,0,208,87
" Darder Sergi S.","ESP",35,32,2788,4127,1192,40,44,0,47,0,69,22
