"Names","Clubs","GP","GS","MP","FS","FC","YC","RC","OFF","C","CK","PKG","PK"
" Lerma Jefferson J.","LEV",26,25,2137,51,56,16,0,0,5,0,0,0
" Parejo Dani D.","VAL",34,34,3005,68,47,15,1,2,193,173,6,6
" Costa Jaume J.","VIL",30,29,2541,37,53,15,1,0,91,1,0,0
" Alvaro","VIL",33,32,2899,30,32,15,1,3,9,0,0,0
" Garcia Dani D.","EIB",32,32,2781,25,49,14,0,0,13,1,0,0
" Suarez Damian D.","GET",33,33,2878,41,54,14,1,1,132,45,0,0
" Antunes","GET",34,31,2797,36,49,14,0,1,173,51,0,1
" Sanchez Victor V.","ESP",30,29,2463,49,73,13,0,0,84,9,0,0
" Perez Ruben R.","LGN",31,29,2520,49,44,13,0,0,16,2,0,0
" Kondogbia Geoffrey G.","VAL",31,30,2617,53,55,13,1,1,8,0,0,0
" Ely Rodrigo R.","ALA",31,30,2692,19,29,12,1,2,2,0,0,0
" Mallo Hugo H.","CEL",34,34,3004,29,50,12,0,5,132,0,0,0
" Gomez Maxi M.","CEL",36,35,3077,90,54,12,0,32,24,0,0,0
" Granell Alex A.","GIR",34,33,2853,37,72,11,0,0,208,87,0,1
" Guilherme","DEP",31,31,2643,46,56,11,0,0,33,20,0,0
" Luisinho","DEP",30,29,2622,49,42,11,0,2,95,0,0,0
" Recio","MAG",22,21,1841,44,42,11,1,1,90,42,1,1
" Carvajal Dani D.","RMD",25,25,2223,31,48,11,1,3,120,0,0,0
" Ramos Sergio S.","RMD",26,26,2290,20,36,11,2,5,14,0,2,3
" Gaya","VAL",34,33,2917,45,36,11,0,5,123,2,0,0
" Ruiz Victor V.","VIL",27,27,2417,6,28,11,1,0,1,0,0,0
" Trigueros Manuel M.","VIL",34,32,2709,44,38,11,1,1,103,51,1,2
" Nunez Unai U.","ATH",33,33,2942,24,42,11,0,0,5,0,0,0
" Maffeo Pablo P.","GIR",33,32,2650,35,30,11,0,1,130,2,0,0
" Navarro Ximo X.","LP",31,29,2606,51,27,11,0,0,11,0,0,0
" Garcia Raul R.","ATH",34,30,2637,73,81,10,0,15,46,1,3,3
" Jonny","CEL",36,36,3203,36,51,10,0,1,60,0,0,0
" Duarte Ruben R.","ALA",24,24,2141,35,48,10,1,1,56,0,0,0
" Llorente Diego D.","RSO",27,26,2328,28,36,10,1,0,5,0,0,0
" Rosales Roberto R.","MAG",35,35,3125,22,48,10,0,3,184,42,0,0
" Illarramendi Asier A.","RSO",36,35,3163,67,34,10,1,0,81,5,0,0
" Zaza Simone S.","VAL",33,23,2078,32,43,10,1,16,17,0,0,0
" Escudero Sergio S.","SEV",27,26,2332,38,34,10,0,1,59,1,0,0
" Rico Diego D.","LGN",26,26,2229,43,35,10,1,4,151,27,0,0
" Siovas Dimitrios D.","LGN",24,24,2061,15,27,10,1,2,3,0,0,0
" Campana Jose J.","LEV",35,33,2742,31,31,10,1,1,128,77,0,0
" Aday","GIR",31,20,1833,15,38,10,0,6,133,2,1,2
" Molina Jorge J.","GET",36,31,2790,61,53,10,0,39,30,0,3,6
" Schar Fabian F.","DEP",25,25,2220,22,39,10,0,4,2,0,0,0
" Arambarri Mauro M.","GET",27,26,2135,42,51,10,1,0,9,0,0,0
" Adrian","MAG",29,27,2312,30,39,9,1,2,21,1,1,1
" Garcia Manu M.","ALA",30,27,2438,72,63,9,0,5,13,0,0,2
" Pique Gerard G.","BAR",30,29,2633,12,23,9,0,3,3,0,0,0
" Suarez Luis L.","BAR",33,32,2899,51,47,9,0,56,50,1,1,1
" Aspas Iago I.","CEL",34,33,2937,62,21,9,0,11,80,31,2,3
" Zaldua Joseba J.","LGN",30,29,2561,61,43,9,1,2,95,0,0,0
" El Haddadi Munir M.","ALA",33,28,2456,114,33,9,1,44,93,33,0,0
" Mandi Aissa A.","BET",34,34,3025,24,34,9,1,1,5,0,0,0
" Lenglet Clement C.","SEV",35,33,3002,22,52,9,0,1,4,0,0,0
" Mercado Gabriel G.","SEV",26,25,2122,15,34,9,0,6,22,0,0,0
"Sarabia Pablo  P.","SEV",34,27,2398,41,46,9,1,21,133,44,1,1
"Saul ","ATL",36,35,3157,35,65,9,0,6,25,1,0,0
"Banega Ever  E.","SEV",31,25,2397,49,42,9,1,2,182,105,3,3
"Cala Juan  J.",NA,20,20,1800,23,28,9,0,2,2,0,0,0
"Pizarro Guido  G.","SEV",24,19,1754,25,49,9,0,0,5,0,0,0
"Bardhi Enis  E.","LEV",26,16,1580,25,38,9,0,3,69,43,0,0
"Djene ","GET",36,36,3239,26,52,9,0,1,12,0,0,0
"N'Diaye Diedhiou Amath  A.","GET",37,36,2883,62,73,9,0,9,41,0,0,0
"Bacca Carlos  C.","VIL",35,30,2511,20,23,9,0,40,36,1,1,1
"Arbilla Anaitz  A.","EIB",29,26,2411,11,25,8,0,0,14,2,0,0
"Pons Pere  P.","GIR",31,30,2564,35,57,8,0,0,9,5,0,0
"Alba Jordi  J.","BAR",33,30,2744,22,34,8,0,16,98,1,0,0
"Busquets Sergio  S.","BAR",31,30,2600,59,35,8,0,0,4,0,0,0
"Fuego Javi  J.","VIL",28,23,1880,36,34,8,0,0,4,0,0,0
"Hernandez Luis  L.","MAG",36,36,3240,10,42,8,0,3,20,0,0,0
"Casemiro ","RMD",30,30,2601,71,58,8,0,2,15,0,0,0
"Rodri ","VIL",37,36,3228,36,79,8,0,2,8,0,0,0
