"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
" Messi Lionel","BAR",36,32,2996,34,12,97,196,3,0
" Ronaldo Cristiano","RMD",27,27,2292,26,5,77,177,1,0
" Suárez Luis","BAR",33,32,2899,25,12,56,121,9,0
" Aspas Iago","CEL",34,33,2937,22,5,43,95,9,0
" Stuani Cristhian","GIR",33,32,2722,21,0,39,74,8,0
" Griezmann Antoine","ATL",32,30,2529,19,9,40,72,7,1
" Gómez Maxi","CEL",36,35,3077,17,4,38,83,12,0
" Moreno Gerard","ESP",38,38,3413,16,1,48,105,4,0
" Bale Gareth","RMD",26,20,1803,16,2,32,74,5,0
" Rodrigo","VAL",37,31,2695,16,4,39,92,4,0
" Willian José","RSO",34,32,2780,15,4,29,88,4,0
" Bacca Carlos","VIL",35,30,2511,15,6,35,73,9,0
" Zaza Simone","VAL",33,23,2078,13,1,24,72,10,1
" Ángel","GET",33,26,2298,13,3,31,68,6,0
" Oyarzabal Mikel","RSO",35,31,2779,12,5,32,64,4,0
" Mina Santi","VAL",32,17,1549,12,2,20,43,4,0
" León Sergio","BET",31,23,1981,11,1,29,65,5,0
" Portu","GIR",37,35,3010,11,5,25,51,5,0
" García Raúl","ATH",34,30,2637,10,1,34,81,10,0
" El Haddadi Munir","ALA",33,28,2456,10,6,23,62,9,1
" Morales José Luis","LEV",35,35,3065,10,8,25,61,7,0
" Aduriz","ATH",33,21,2149,9,1,28,61,5,0
" Adrián","DEP",30,26,2346,9,6,19,61,1,0
" Bakambu Cédric",NA,15,15,1269,9,0,16,31,5,0
" Ben Yedder Wissam","SEV",25,18,1699,9,3,27,48,3,1
" Calleri Jonathan","LP",37,34,3111,9,3,29,96,7,0
" Bardhi Enis","LEV",26,16,1580,9,1,13,37,9,0
" Paulinho","BAR",34,21,1939,9,2,22,45,2,0
" García Kike","EIB",35,28,2464,8,1,27,71,5,0
" Baptistao Leo","ESP",36,31,2686,8,3,28,79,4,0
" Charles","EIB",30,18,1580,8,1,16,45,5,1
" Juanmi","RSO",30,18,1490,8,2,13,37,3,0
" Sanabria Tony","BET",17,8,847,8,0,12,23,0,0
" Correa Ángel","ATL",37,27,2262,8,4,27,47,5,1
" Rémy Loïc","GET",23,12,1219,8,0,22,42,5,1
" Pérez Lucas","DEP",35,31,2796,8,6,27,55,3,0
" Coutinho Philippe","BAR",18,16,1303,8,5,20,37,1,0
" Ibai","ALA",34,26,2324,7,6,24,54,1,0
" Williams Iñaki","ATH",38,31,2851,7,6,26,74,3,0
" Andone Florin","DEP",29,16,1630,7,3,22,55,6,0
" Isco","RMD",30,21,1778,7,7,19,49,1,0
" Illarramendi Asier","RSO",36,35,3163,7,5,11,36,10,1
" Parejo Dani","VAL",34,34,3005,7,8,21,45,15,1
" Gameiro Kevin","ATL",25,11,1119,7,2,14,20,0,0
" Molina Jorge","GET",36,31,2790,7,4,26,65,10,0
" Muriel Luis","SEV",29,17,1603,7,2,21,58,4,0
" Morón Loren","BET",15,12,1064,7,0,14,29,3,0
" Asensio Marco","RMD",32,19,1839,6,6,23,57,2,0
" Castillejo Samu","VIL",30,25,2083,6,5,20,57,4,0
" Ünal Enes","VIL",30,18,1718,6,3,23,44,1,0
"Sarabia Pablo ","SEV",34,27,2398,6,5,27,58,9,1
"Jordán Joan ","EIB",35,25,2422,6,4,17,41,3,1
"Boateng Emmanuel ","LEV",25,10,1270,6,0,15,40,5,0
"Inui Takashi ","EIB",34,31,2640,5,2,23,64,4,0
"Sisto Pione ","CEL",34,31,2534,5,9,19,52,2,0
"Benzema Karim ","RMD",32,25,2156,5,10,18,63,0,0
"Casemiro ","RMD",30,30,2601,5,3,12,32,8,0
"Kroos Toni ","RMD",27,26,2267,5,7,18,42,4,0
"Sansone Nicola ","VIL",18,5,627,5,1,7,15,1,0
"Torres Fernando ","ATL",27,7,966,5,0,13,30,2,0
"Pires Gabriel ","LGN",29,28,2383,5,2,15,43,6,1
"Juanpe ","GIR",35,34,3064,5,1,11,23,7,0
"Rolan Diego ","MAG",26,21,1944,5,0,16,34,0,0
"Guedes Gonçalo ","VAL",33,27,2441,5,9,23,61,2,0
"Eraso ","LGN",34,31,2540,4,3,13,32,4,0
"Muniain Iker ","ATH",14,7,775,4,2,10,18,1,0
"Alcácer Paco ","BAR",17,8,694,4,3,7,15,0,0
"Wass Daniel ","CEL",35,34,2938,4,9,10,51,4,0
"Viera Jonathan ",NA,23,23,1994,4,3,15,39,4,0
"Castro Chory ","MAG",26,26,2075,4,2,10,32,6,1
"En-Nesyri Youseff ","MAG",25,16,1592,4,0,13,47,3,1
"Ramos Sergio ","RMD",26,26,2290,4,1,14,28,11,2
"Vázquez Lucas ","RMD",33,16,1668,4,7,17,33,3,0
"Bergara Markel ","GET",18,18,1469,4,1,10,17,5,0
"Canales Sergio ","RSO",36,20,1921,4,5,15,66,4,0
"Joaquín ","BET",35,29,2487,4,7,14,33,7,0
"Vázquez Franco ","SEV",30,22,1845,4,6,13,56,4,0
"Koke ","ATL",35,33,2762,4,4,14,29,3,0
"Guerrero ","LGN",22,15,1438,4,3,11,30,3,0
"Tello Cristian ","BET",32,16,1684,4,3,17,34,2,0
"Nolito ","SEV",30,17,1599,4,5,18,38,4,0
"Ivi ","LEV",29,17,1759,4,3,10,39,3,0
"Kondogbia Geoffrey ","VAL",31,30,2617,4,4,8,27,13,1
"Adrián ","MAG",29,27,2312,3,0,11,34,9,1
"Enrich Sergi ","EIB",19,14,1330,3,1,11,32,2,0
"Ramis Iván ","EIB",16,15,1303,3,0,7,14,4,0
"Feddal Zouhair ","BET",15,14,1257,3,0,3,6,7,0
"García Manu ","ALA",30,27,2438,3,0,8,26,9,0
"Susaeta ","ATH",34,26,2268,3,2,12,27,2,0
"Guidetti John ","ALA",25,15,1338,3,3,14,33,3,0
"Hernández Pablo ","CEL",30,18,1812,3,2,3,17,5,0
"Borges Celso ","DEP",32,26,2306,3,3,8,32,5,1
"Fornals Pablo ","VIL",35,30,2623,3,12,14,50,4,0
"Llorente Diego ","RSO",27,26,2328,3,0,7,19,10,1
"Nacho ","RMD",27,22,2073,3,0,4,9,7,0
"Elustondo Aritz ","RSO",19,18,1598,3,2,5,11,1,0
"Prieto Xabi ","RSO",26,24,1940,3,5,10,16,1,0
"Orellana Fabián ","EIB",17,13,1182,3,2,5,27,6,1
"Trigueros Manuel ","VIL",34,32,2709,3,4,8,28,11,1
"Lenglet Clément ","SEV",35,33,3002,3,1,5,13,9,0
"Carrasco Yannick ",NA,17,8,899,3,4,9,26,3,0
"Partey Thomas ","ATL",33,28,2379,3,0,3,22,6,0
"Mayoral Borja ","RMD",14,3,338,3,1,11,15,0,0
"Banega Éver  É.","SEV",31,25,2397,3,3,13,37,9,1
"Ruiz Fabián ","BET",34,30,2662,3,6,17,40,3,0
"Valle Borja ","DEP",17,3,474,3,2,7,15,1,0
"Pedraza Alfonso ","ALA",33,27,2441,3,5,13,42,5,0
"Martí Roger ","LEV",17,10,962,3,2,8,27,4,0
"Sobrino Rubén ","ALA",28,15,1461,3,2,13,25,5,0
"Januzaj Adnan ","RSO",28,18,1579,3,5,14,60,4,0
"N'Diaye Diedhiou Amath ","GET",37,36,2883,3,3,13,42,9,0
"Dembélé Ousmane ","BAR",17,12,930,3,6,10,21,2,0
"Olunga Michael ","GIR",14,4,427,3,1,6,17,0,0
"Costa Diego ","ATL",15,13,1048,3,3,10,24,8,1
"Coke ","LEV",17,16,1385,3,0,5,11,6,1
"Arbilla Anaitz ","EIB",29,26,2411,2,1,4,17,8,0
"Laguardia ","ALA",17,17,1530,2,0,2,5,3,0
"Santos Christian ","ALA",10,5,433,2,0,5,8,4,1
"Alba Jordi ","BAR",33,30,2744,2,8,5,15,8,0
"Piqué Gerard ","BAR",30,29,2633,2,0,5,18,9,0
"Suárez Denis ","BAR",18,4,584,2,2,5,12,1,0
"Beauvue Claudio ","LGN",28,17,1670,2,0,9,40,4,0
"Jonny ","CEL",36,36,3203,2,1,4,15,10,0
"Piatti Pablo ","ESP",30,22,1747,2,3,6,30,0,0
"Halilovic Alen ","LP",20,16,1306,2,1,15,38,1,1
"Hakimi Achraf ","RMD",9,8,757,2,0,3,4,0,0
"Marcelo ","RMD",28,26,2262,2,6,9,33,3,1
"Medrán Álvaro ","ALA",18,10,1014,2,0,6,18,2,0
"Cheryshev Denis ","VIL",24,9,920,2,1,9,29,2,0
"Mario ","VIL",32,31,2805,2,3,10,30,6,0
"Raba Daniel ","VIL",21,14,1113,2,4,5,18,3,1
"Ruiz Víctor ","VIL",27,27,2417,2,1,2,5,11,1
"Brasanac Darko ","LGN",23,13,1201,2,0,5,10,3,0
"Ceballos Dani ","RMD",12,4,397,2,0,4,7,0,0
"Durmisi Riza ","BET",24,23,2080,2,3,6,18,4,0
