"Names","Clubs","GP","GS","MP","G","A","SOG","S","YC","RC"
" Messi Lionel L.","BAR",34,32,2832,37,9,82,178,6,0
" Suarez Luis L.","BAR",35,34,2863,29,13,64,120,8,0
" Cristiano Ronaldo","RMD",29,29,2544,25,6,64,160,4,0
" Aspas Iago I.","CEL",32,25,2318,19,3,41,80,10,1
" Aduriz","ATH",32,27,2462,16,1,48,83,9,1
" Griezmann Antoine A.","ATL",36,36,3065,16,8,44,89,4,0
" Morata Alvaro A.","RMD",26,14,1332,15,4,31,53,8,0
" Ramirez Sandro S.","MAG",30,28,2315,14,3,39,92,4,0
" Neymar","BAR",30,30,2652,13,11,50,107,8,1
" Moreno Gerard G.","ESP",37,37,3280,13,4,33,82,6,0
" Castro Ruben R.","BET",35,32,2782,13,3,49,117,3,0
" Willian Jose","RSO",28,27,2078,12,4,31,70,4,0
" Gameiro Kevin K.","ATL",31,21,1717,12,5,24,48,0,0
" Andone Florin F.","DEP",37,32,2900,12,2,44,99,6,0
" Enrich Sergi S.","EIB",38,31,2828,11,7,29,64,4,0
" Benzema Karim K.","RMD",29,23,1914,11,5,37,69,0,0
" Bakambu Cedric C.","VIL",26,17,1570,11,1,24,47,5,0
" Juanmi","RSO",35,19,1835,11,0,20,48,8,1
" Ben Yedder Wissam W.","SEV",31,20,1666,11,4,25,46,0,0
" Garcia Raul R.","ATH",36,34,2883,10,4,43,94,11,0
" Isco","RMD",30,18,1638,10,8,14,33,4,0
" Piatti Pablo P.","ESP",30,30,2353,10,10,20,45,8,0
" Carrasco Yannick Y.","ATL",35,27,2269,10,4,36,85,5,0
" Pedro Leon","EIB",37,34,3009,10,5,38,87,6,0
" Boateng Kevin-Prince K.","LP",28,25,1989,10,4,33,74,12,2
" Leon Sergio S.","OSA",33,27,2402,10,0,32,69,4,0
" Cop Duje D.","GIJ",31,27,2280,9,3,26,65,7,0
" Vela Carlos C.","RSO",35,31,2563,9,2,29,62,6,0
" Soriano Roberto R.","VIL",33,31,2470,9,5,24,42,8,1
" Carmona Carlos C.","GIJ",25,21,1865,8,2,15,33,5,0
" Rakitic Ivan I.","BAR",32,26,2344,8,5,17,47,5,0
" Rodriguez James J.","RMD",22,13,1180,8,6,18,33,1,0
" Prieto Xabi X.","RSO",38,32,2820,8,6,13,35,2,0
" Torres Fernando F.","ATL",31,13,1419,8,5,22,44,3,0
" Szymanowski Alexander A.","LGN",28,24,2037,8,2,19,41,1,0
" Sarabia Pablo P.","SEV",34,22,2134,8,8,22,47,10,0
" Sansone Nicola N.","VIL",32,25,2125,8,3,21,46,7,0
