"PLAYER_ID","PLAYER_NAME","TEAM_ID","TEAM_ABBREVIATION","AGE","PLAYER_HEIGHT","PLAYER_HEIGHT_INCHES","PLAYER_WEIGHT","COLLEGE","COUNTRY","DRAFT_YEAR","DRAFT_ROUND","DRAFT_NUMBER","GP","PTS","REB","AST","NET_RATING","OREB_PCT","DREB_PCT","USG_PCT","TS_PCT","AST_PCT"
"201166","Aaron Brooks","1610612750","MIN","33","6-0","72","161","Oregon","USA","2007","1","26","2","4","0","5","-16.8","0","0","0.186","0.254","0.417"
"203932","Aaron Gordon","1610612753","ORL","22","6-9","81","220","Arizona","USA","2014","1","4","5","92","37","3","4.4","0.08","0.228","0.291","0.608","0.039"
"1627846","Abdel Nader","1610612738","BOS","24","6-6","78","230","Iowa State","Egypt","2016","2","58","4","32","8","4","4.5","0.045","0.098","0.235","0.522","0.133"
"204064","Akil Mitchell","1610612751","BKN","26","6-9","81","250","Virginia","USA","Undrafted","Undrafted","Undrafted","1","0","1","0","7.9","0","0.167","0.079","0","0"
"201143","Al Horford","1610612738","BOS","32","6-10","82","245","Florida","Dominican Republic","2007","1","3","3","29","23","11","29.7","0.121","0.242","0.181","0.637","0.224"
"2744","Al Jefferson","1610612754","IND","33","6-10","82","280","None","USA","2004","1","15","3","14","12","4","6.2","0.028","0.324","0.195","0.467","0.143"
"202329","Al-Farouq Aminu","1610612757","POR","27","6-9","81","220","Wake Forest","USA","2010","1","8","5","26","26","3","20","0.07","0.217","0.112","0.569","0.038"
"202692","Alec Burks","1610612762","UTA","26","6-6","78","214","Colorado","USA","2011","1","12","5","52","18","13","22.2","0.012","0.193","0.21","0.605","0.191"
"1628409","Alec Peters","1610612756","PHX","23","6-9","81","235","Valparaiso","USA","2017","2","54","4","9","4","2","-7.2","0.091","0.1","0.159","0.58","0.133"
"203518","Alex Abrines","1610612760","OKC","24","6-6","78","190","None","Spain","2013","2","32","1","5","1","0","47.7","0","0.056","0.063","1.25","0"
"1627936","Alex Caruso","1610612747","LAL","24","6-5","77","186","Texas A&M","USA","Undrafted","Undrafted","Undrafted","6","22","18","25","11.1","0.022","0.132","0.115","0.55","0.309"
"1628174","Alex Hamilton","1610612744","GSW","24","6-4","76","195","None","USA","Undrafted","Undrafted","Undrafted","1","2","0","0","20","0","0","0.167","1","0"
"203458","Alex Len","1610612756","PHX","25","7-1","85","250","Maryland","Ukraine","2013","1","5","5","73","38","2","7.8","0.087","0.225","0.199","0.695","0.029"
"1627816","Alex Poythress","1610612754","IND","24","6-9","81","235","Kentucky","USA","Undrafted","Undrafted","Undrafted","3","10","6","1","-5.2","0.087","0.148","0.147","0.512","0.037"
"201582","Alexis Ajinca","1610612740","NOP","30","7-2","86","248","None","France","2008","1","20","2","0","3","0","-28","0","0.176","0.09","0","0"
"1628035","Alfonzo McKinnie","1610612761","TOR","25","6-8","80","215","None","USA","Undrafted","Undrafted","Undrafted","4","18","13","0","28.1","0.091","0.25","0.133","0.75","0"
"203459","Allen Crabbe","1610612751","BKN","26","6-6","78","215","California","USA","2013","2","31","2","24","4","2","-10.8","0","0.143","0.262","0.633","0.111"
"1628578","Amida Brimah","1610612759","SAS","24","6-10","82","230","Connecticut","USA","Undrafted","Undrafted","Undrafted","2","3","8","0","5.1","0.333","0.313","0.16","0.543","0"
"1628518","Amile Jefferson","1610612750","MIN","25","6-9","81","224","Duke","USA","Undrafted","Undrafted","Undrafted","1","0","1","0","-109","0.25","0","0.235","0","0"
